[06-Jun-2022 12:41:28 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/get-order-details-subscription-bo.php on line 44
[06-Jun-2022 12:41:28 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/get-order-details-subscription-bo.php on line 45
[06-Jun-2022 12:41:28 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/get-order-details-subscription-bo.php on line 46
[06-Jun-2022 12:51:19 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/remove-cart-item.php on line 33
[06-Jun-2022 12:51:19 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/remove-cart-item.php on line 34
[06-Jun-2022 12:51:19 Asia/Calcutta] PHP Notice:  Undefined variable: total in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/remove-cart-item.php on line 36
[06-Jun-2022 12:51:21 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/remove-cart-item.php on line 33
[06-Jun-2022 12:51:21 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/remove-cart-item.php on line 34
[06-Jun-2022 12:51:21 Asia/Calcutta] PHP Notice:  Undefined variable: total in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/remove-cart-item.php on line 36
[06-Jun-2022 12:51:21 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/remove-cart-item.php on line 33
[06-Jun-2022 12:51:21 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/remove-cart-item.php on line 34
[06-Jun-2022 19:25:00 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/get-order-details-subscription-bo.php on line 34
[06-Jun-2022 19:25:00 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/get-order-details-subscription-bo.php on line 39
[06-Jun-2022 19:25:00 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/get-order-details-subscription-bo.php on line 41
[06-Jun-2022 19:25:00 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/get-order-details-subscription-bo.php on line 44
